PENDAPATAN KEPALA KELUARGA,STATUS LAHAN TEMPAT TINGGAL,LUAS LAHAN TEMPAT TINGGAL (m2),LUAS LANTAI (m2),JENIS ATAP RUMAH,JENIS DINDING,JENIS LANTAI,IJAZAH TERAKHIR KEPALA KELUARGA,FASILITAS MCK,FASILITAS TEMPAT BUANG AIR BESAR,SUMBER PENERANGAN UTAMA,SUMBER AIR MINUM,BAHAN BAKAR UNTUK MEMASAK,TEMPAT PEMBUANGAN LIMBAH,KLASIFIKASI RTM
700000,milik sendiri,378,58,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
800000,milik sendiri,452,153,seng,kayu kualitas rendah,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
300000,milik sendiri,485,13,kayu jerami,kayu kualitas rendah,kayu,SMA,sendiri,jamban umum,listrik PLN,air isi ulang,gas LPG,sawah,RTM
750000,milik sendiri,74,98,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
500000,milik sendiri,277,360,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
1000000,milik sendiri,145,127,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
800000,milik sendiri,350,128,seng,beton,semen,SMP,MCK umum,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
980000,milik orang lain,54,129,seng,beton,semen,SMA,MCK umum,jamban bersama tetangga,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTM
1000000,milik sendiri,150,841,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,17,130,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
370000,milik sendiri,250,131,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1500000,milik sendiri,394,132,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
3500000,milik sendiri,370,842,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
7900000,milik sendiri,290,133,seng,kayu kualitas tinggi,kayu,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTHM
1200000,milik sendiri,333,843,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
1000000,milik sendiri,234,100,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
450000,milik sendiri,656,176,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
600000,milik sendiri,657,102,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1000000,milik sendiri,130,844,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
970000,milik sendiri,110,134,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1000000,milik sendiri,274,135,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
150000,milik sendiri,108,136,seng,beton,semen,SMA,sendiri,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
7600000,milik sendiri,955,118,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
350000,milik sendiri,235,103,seng,kayu kualitas rendah,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
333000,milik orang lain,640,845,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,658,74,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
150000,milik sendiri,535,104,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
680000,milik sendiri,174,846,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
208300,milik sendiri,82,75,seng,beton,kayu,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
333000,milik sendiri,66,857,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
300000,milik sendiri,56,137,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
390000,milik sendiri,659,94,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
3000000,milik sendiri,310,215,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
350000,milik sendiri,55,858,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
200000,milik sendiri,36,66,seng,kayu kualitas rendah,kayu,SMA,MCK umum,jamban umum,tidak ada,air isi ulang,kayu bakar,lubang ditanah,RTSM
2000000,milik sendiri,33,138,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
2500000,milik sendiri,245,99,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
